AnimalType,SexUponOutcome,AgeUponOutcome,Breed1,Breed2,Color,Outcome
Cat,Unknown,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Transfer/Partner
Cat,Neutered Male,365,Domestic Longhair Mix,Domestic Longhair Mix,Blue Tabby,Transfer/Partner
Dog,Neutered Male,730,American Pit Bull Terrier Mix,American Pit Bull Terrier Mix,Tan/White,Adoption/
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby/White,Adoption/Foster
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/SCRP
Dog,Neutered Male,1095,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Euthanasia/Suffering
Dog,Spayed Female,365,German Shepherd,Labrador Retriever,Black Brindle/White,Adoption/
Dog,Neutered Male,1460,Pug Mix,Pug Mix,Fawn,Transfer/Partner
Dog,Neutered Male,60,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown/Tan,Adoption/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/
Dog,Spayed Female,90,Labrador Retriever Mix,Labrador Retriever Mix,Tan/White,Adoption/
Dog,Unknown,2,Dachshund Mix,Dachshund Mix,Black,Transfer/Partner
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Adoption/
Cat,Intact Female,730,Domestic Longhair Mix,Domestic Longhair Mix,Torbie,Return_to_owner/
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Transfer/Partner
Dog,Spayed Female,1095,Pit Bull Mix,Pit Bull Mix,Blue/White,Transfer/Partner
Cat,Neutered Male,365,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Adoption/
Dog,Intact Male,730,Cardigan Welsh Corgi,Chihuahua Shorthair,Tan,Transfer/Partner
Dog,Spayed Female,1825,Maltese Mix,Maltese Mix,White,Adoption/Offsite
Dog,Spayed Female,2920,German Shepherd Mix,German Shepherd Mix,Black/Tan,Adoption/Foster
Dog,Neutered Male,730,Pit Bull Mix,Pit Bull Mix,Blue/White,Transfer/Partner
Cat,Neutered Male,1825,Siamese Mix,Siamese Mix,Seal Point,Transfer/Partner
Cat,Neutered Male,150,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Cat,Unknown,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Euthanasia/Suffering
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Adoption/
Cat,Unknown,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black/White,Transfer/SCRP
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Neutered Male,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Return_to_owner/
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown/White,Adoption/
Dog,Neutered Male,2555,Labrador Retriever Mix,Labrador Retriever Mix,Black,Return_to_owner/
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Spayed Female,730,Dachshund Mix,Dachshund Mix,Brown,Return_to_owner/
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Red/White,Adoption/
Dog,Intact Male,2555,German Shepherd,German Shepherd,Sable,Transfer/Partner
Cat,Spayed Female,60,Manx Mix,Manx Mix,Brown Tabby/White,Adoption/Foster
Dog,Spayed Female,270,Labrador Retriever Mix,Labrador Retriever Mix,Tan,Adoption/
Dog,Neutered Male,365,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Black/Brown,Return_to_owner/
Dog,Neutered Male,2190,Labrador Retriever,Labrador Retriever,Buff,Return_to_owner/
Dog,Neutered Male,730,Beauceron Mix,Beauceron Mix,Black/Tan,Adoption/
Cat,Neutered Male,2920,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Adoption/
Cat,Intact Male,28,Domestic Shorthair,Domestic Shorthair,Black/White,Transfer/Partner
Dog,Neutered Male,365,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Transfer/Partner
Cat,Intact Male,21,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue Tabby,Transfer/Partner
Dog,Spayed Female,2555,Pit Bull Mix,Pit Bull Mix,White/Brown,Return_to_owner/
Dog,Neutered Male,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White,Adoption/
Cat,Neutered Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/Foster
Dog,Spayed Female,730,Beagle,Labrador Retriever,Brown/White,Adoption/
Dog,Intact Female,120,American Pit Bull Terrier,Chinese Sharpei,Fawn/White,Return_to_owner/
Cat,Intact Male,365,Domestic Longhair Mix,Domestic Longhair Mix,Blue,Transfer/SCRP
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Adoption/Foster
Dog,Spayed Female,120,Pit Bull Mix,Pit Bull Mix,Tricolor,Transfer/Partner
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Return_to_owner/
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Dog,Spayed Female,1460,Dachshund Mix,Dachshund Mix,Red Merle/White,Return_to_owner/
Cat,Unknown,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Dog,Spayed Female,5840,Pekingese,Pekingese,White,Return_to_owner/
Dog,Spayed Female,120,Dachshund Mix,Dachshund Mix,Brown,Transfer/Partner
Cat,Intact Male,28,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Orange Tabby,Euthanasia/Suffering
Dog,Neutered Male,90,Chihuahua Shorthair,Dachshund,Tan/White,Adoption/
Dog,Intact Male,730,Cardigan Welsh Corgi Mix,Cardigan Welsh Corgi Mix,Black/White,Euthanasia/Suffering
Dog,Intact Female,2190,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Tan,Transfer/Partner
Dog,Neutered Male,4015,Rottweiler,Rhod Ridgeback,Brown/White,Adoption/Foster
Cat,Spayed Female,180,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Transfer/Partner
Dog,Spayed Female,730,Australian Shepherd Mix,Australian Shepherd Mix,Black/Tricolor,Adoption/
Dog,Spayed Female,3285,Dachshund Mix,Dachshund Mix,White/Brown,Return_to_owner/
Cat,Intact Male,730,Siamese Mix,Siamese Mix,Seal Point,Transfer/SCRP
Dog,Spayed Female,1095,Doberman Pinsch,Doberman Pinsch,Black/Brown,Adoption/
Dog,Neutered Male,730,Pekingese Mix,Pekingese Mix,Tan/White,Adoption/
Cat,Intact Female,3,Domestic Shorthair Mix,Domestic Shorthair Mix,Black Tabby,Transfer/Partner
Dog,Neutered Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White,Return_to_owner/
Dog,Neutered Male,1095,Old English Bulldog Mix,Old English Bulldog Mix,White/Brown Brindle,Adoption/
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Brown Tabby,Adoption/
Cat,Neutered Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Spayed Female,730,Ibizan Hound Mix,Ibizan Hound Mix,Tan/White,Adoption/
Dog,Spayed Female,1095,Beagle Mix,Beagle Mix,Tan/White,Return_to_owner/
Dog,Spayed Female,1095,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black/Brown,Adoption/
Cat,Intact Male,7,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Dog,Spayed Female,730,Boston Terrier Mix,Boston Terrier Mix,Black Brindle/White,Adoption/
Cat,Intact Female,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Transfer/Partner
Dog,Neutered Male,60,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/White,Return_to_owner/
Cat,Intact Female,6,Domestic Longhair Mix,Domestic Longhair Mix,Calico,others
Cat,Neutered Male,365,Domestic Shorthair,Domestic Shorthair,Black,Adoption/Foster
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/
Cat,Neutered Male,2190,Domestic Longhair Mix,Domestic Longhair Mix,Orange Tabby/White,Transfer/SCRP
Cat,Spayed Female,365,Siamese Mix,Siamese Mix,Lynx Point,Adoption/Foster
Dog,Neutered Male,1460,Labrador Retriever Mix,Labrador Retriever Mix,Tricolor,Return_to_owner/
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Spayed Female,180,Dachshund,Whippet,Red/White,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,Red,Return_to_owner/
Dog,Neutered Male,730,Rat Terrier Mix,Rat Terrier Mix,Tan/White,Return_to_owner/
Cat,Intact Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Adoption/Foster
Dog,Neutered Male,730,Cairn Terrier Mix,Cairn Terrier Mix,Brown Brindle/White,Adoption/
Dog,Neutered Male,120,Rottweiler Mix,Rottweiler Mix,Black/Tan,Adoption/
Dog,Spayed Female,1095,Labrador Retriever Mix,Labrador Retriever Mix,Red/White,Adoption/
Dog,Neutered Male,2190,German Shepherd Mix,German Shepherd Mix,Brown/Black,Adoption/
Cat,Intact Male,60,Domestic Shorthair,Domestic Shorthair,Black Tabby,Transfer/Partner
Dog,Spayed Female,730,Miniature Poodle Mix,Miniature Poodle Mix,White,Adoption/
Dog,Spayed Female,365,American Staffordshire Terrier Mix,American Staffordshire Terrier Mix,Blue/White,others
Cat,Intact Female,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/SCRP
Dog,Spayed Female,365,Labrador Retriever,Border Collie,Black/White,Transfer/Partner
Dog,Neutered Male,365,Chihuahua Shorthair,Whippet,Brown Brindle,Adoption/
Dog,Spayed Female,730,German Shepherd Mix,German Shepherd Mix,Sable,Return_to_owner/
Dog,Neutered Male,730,Boxer,Beagle,White/Brown,Adoption/
Dog,Spayed Female,120,Brittany,Labrador Retriever,Red,Adoption/
Dog,Spayed Female,730,Black Mouth Cur,Australian Cattle Dog,Tan,Adoption/
Dog,Spayed Female,300,Labrador Retriever,Anatol Shepherd,White/Tricolor,Adoption/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/
Dog,Neutered Male,60,Newfoundland,Australian Cattle Dog,Black/White,Adoption/
Dog,Spayed Female,240,Boxer Mix,Boxer Mix,Brown Brindle,Adoption/
Cat,Spayed Female,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Return_to_owner/
Cat,Intact Male,21,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange Tabby,Transfer/Partner
Dog,Neutered Male,4015,Parson Russell Terrier Mix,Parson Russell Terrier Mix,White/Brown,Transfer/Partner
Dog,Neutered Male,730,Bull Terrier,Bull Terrier,White,Transfer/Partner
Dog,Neutered Male,730,American Bulldog Mix,American Bulldog Mix,Black/White,Transfer/Partner
Cat,Spayed Female,120,Domestic Medium Hair,Domestic Medium Hair,Brown Tabby,Adoption/
Dog,Neutered Male,300,Chihuahua Shorthair,Dachshund,Tricolor,Transfer/Partner
Dog,Neutered Male,1095,Cardigan Welsh Corgi,Chihuahua Shorthair,Brown/White,Adoption/
Cat,Intact Male,180,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/SCRP
Dog,Intact Male,365,Miniature Pinscher Mix,Miniature Pinscher Mix,Black/Tan,Transfer/Partner
Cat,Intact Female,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Neutered Male,2555,Shih Tzu Mix,Shih Tzu Mix,Black,Return_to_owner/
Cat,Intact Male,730,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,Euthanasia/Suffering
Dog,Neutered Male,330,Black Mouth Cur Mix,Black Mouth Cur Mix,Brown/Black,Adoption/
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,Blue/White,Adoption/Foster
Cat,Neutered Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Adoption/
Dog,Neutered Male,365,Rhod Ridgeback Mix,Rhod Ridgeback Mix,Tan,Adoption/
Dog,Neutered Male,730,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Black,Adoption/
Dog,Spayed Female,1460,Pit Bull Mix,Pit Bull Mix,Fawn/White,Adoption/
Dog,Intact Male,730,English Bulldog,English Bulldog,Blue/White,Return_to_owner/
Cat,Spayed Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Cat,Intact Male,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Adoption/Offsite
Cat,Spayed Female,3650,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Brown Tabby,Return_to_owner/
Dog,Neutered Male,1095,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Chocolate/Tan,Return_to_owner/
Cat,Intact Female,120,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Orange Tabby,Transfer/SCRP
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Transfer/Partner
Cat,Intact Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Euthanasia/Suffering
Dog,Intact Male,730,Siberian Husky Mix,Siberian Husky Mix,White,Return_to_owner/
Dog,Neutered Male,90,Bernese Mountain Dog Mix,Bernese Mountain Dog Mix,Black/Tan,Adoption/
Dog,Neutered Male,1095,Miniature Poodle Mix,Miniature Poodle Mix,Black,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Neutered Male,150,Pit Bull,Pit Bull,White,Adoption/
Cat,Spayed Female,1825,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Adoption/
Dog,Spayed Female,1460,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Silver,Return_to_owner/
Cat,Spayed Female,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Return_to_owner/
Cat,Intact Female,3285,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Euthanasia/Suffering
Cat,Intact Female,180,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Black,Transfer/SCRP
Cat,Neutered Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Dog,Neutered Male,730,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Brown,Transfer/Partner
Cat,Neutered Male,180,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Adoption/Foster
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Dog,Neutered Male,730,Australian Shepherd Mix,Australian Shepherd Mix,Tricolor/White,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Cat,Neutered Male,300,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/SCRP
Dog,Intact Male,1,Pit Bull Mix,Pit Bull Mix,White/Black,Return_to_owner/
Cat,Intact Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Euthanasia/Suffering
Dog,Spayed Female,1460,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown/White,Adoption/
Cat,Neutered Male,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Cat,Spayed Female,2555,Maine Coon Mix,Maine Coon Mix,Brown Tabby,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/Foster
Dog,Spayed Female,60,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan/White,Adoption/
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Transfer/Partner
Dog,Neutered Male,1460,Dachshund,Dachshund,Black/Brown,Return_to_owner/
Cat,Unknown,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/Partner
Dog,Neutered Male,60,Labrador Retriever,Labrador Retriever,White,Adoption/
Cat,Intact Male,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Dog,Neutered Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tricolor,Adoption/
Dog,Spayed Female,365,Pit Bull Mix,Pit Bull Mix,White/Black,Adoption/
Dog,Intact Male,60,Dachshund,Shih Tzu,Tan,Transfer/Partner
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,Black Brindle/White,Adoption/
Dog,Spayed Female,1460,Australian Shepherd Mix,Australian Shepherd Mix,Chocolate/White,Adoption/
Dog,Neutered Male,1095,Parson Russell Terrier,Chihuahua Shorthair,White/Brown,Return_to_owner/
Dog,Intact Male,2920,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Tan,Return_to_owner/
Dog,Neutered Male,730,Pug Mix,Pug Mix,Black,Return_to_owner/
Dog,Neutered Male,2555,Chow Chow,Australian Cattle Dog,Tan/Black,Return_to_owner/
Dog,Neutered Male,730,Pit Bull Mix,Pit Bull Mix,Brown/White,Adoption/
Dog,Neutered Male,240,Pit Bull,Mastiff,Red/White,Return_to_owner/
Cat,Spayed Female,365,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black/White,Transfer/SCRP
Dog,Neutered Male,4745,Newfoundland Mix,Newfoundland Mix,Black,Return_to_owner/
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,White,Transfer/Partner
Cat,Neutered Male,2190,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange Tabby,Adoption/
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/
Dog,Spayed Female,730,American Pit Bull Terrier,American Pit Bull Terrier,Chocolate/White,Transfer/Partner
Dog,Spayed Female,1825,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Red/White,Return_to_owner/
Dog,Neutered Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Tan,Adoption/
Dog,Neutered Male,365,American Bulldog Mix,American Bulldog Mix,Blue/White,others
Cat,Spayed Female,2920,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Adoption/
Dog,Neutered Male,1095,Pit Bull Mix,Pit Bull Mix,Tan/White,Adoption/Foster
Dog,Intact Male,365,Pit Bull Mix,Pit Bull Mix,White/Brown,Return_to_owner/
Cat,Intact Female,2555,Domestic Longhair Mix,Domestic Longhair Mix,Tortie,Return_to_owner/
Dog,Spayed Female,60,Cocker Spaniel Mix,Cocker Spaniel Mix,White/Tan,Transfer/Partner
Dog,Intact Female,730,Miniature Schnauzer,Miniature Schnauzer,Black,Transfer/Partner
Cat,Intact Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Transfer/SCRP
Dog,Neutered Male,1095,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White,Euthanasia/Suffering
Cat,Spayed Female,120,Domestic Longhair Mix,Domestic Longhair Mix,Black/White,Adoption/
Cat,Spayed Female,1825,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Dog,Neutered Male,300,Catahoula Mix,Catahoula Mix,Chocolate/White,Transfer/Partner
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Blue/Tan,Adoption/
Cat,Neutered Male,1460,Angora Mix,Angora Mix,Black,Adoption/
Cat,Intact Female,4,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan/White,Return_to_owner/
Dog,Neutered Male,1460,Australian Shepherd Mix,Australian Shepherd Mix,Red,Return_to_owner/
Dog,Intact Male,180,Catahoula Mix,Catahoula Mix,Brown Merle,Transfer/Partner
Cat,Unknown,21,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Brown Tabby,Transfer/Partner
Dog,Neutered Male,1095,Rottweiler,Rottweiler,Black/Tan,Adoption/
Cat,Neutered Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Neutered Male,330,Black Mouth Cur Mix,Black Mouth Cur Mix,Tan/Black,Transfer/Partner
Cat,Neutered Male,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Cat,Intact Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Cat,Intact Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Chocolate Point,Transfer/SCRP
Cat,Spayed Female,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,others
Dog,Intact Female,210,Labrador Retriever,Pembroke Welsh Corgi,Tan/White,Transfer/Partner
Cat,Intact Male,1,Domestic Shorthair Mix,Domestic Shorthair Mix,White,Transfer/Partner
Dog,Intact Female,365,Pit Bull Mix,Pit Bull Mix,Brown Brindle,Transfer/Partner
Dog,Neutered Male,730,Labrador Retriever Mix,Labrador Retriever Mix,Black,Return_to_owner/
Dog,Neutered Male,730,Pit Bull Mix,Pit Bull Mix,Brown/White,Adoption/
Cat,Intact Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/SCRP
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/
Dog,Neutered Male,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Yellow,Adoption/
Cat,Spayed Female,180,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Cream,Adoption/Foster
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/Foster
Dog,Spayed Female,365,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Black/Tan,Transfer/Partner
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Black,Adoption/
Cat,Neutered Male,365,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby/White,Transfer/SCRP
Dog,Spayed Female,1460,Carolina Dog Mix,Carolina Dog Mix,Tan/White,Transfer/Partner
Cat,Neutered Male,60,Siamese Mix,Siamese Mix,Blue Point,Adoption/Foster
Dog,Intact Female,1825,Pit Bull Mix,Pit Bull Mix,White/Black,Euthanasia/Suffering
Dog,Spayed Female,5110,Doberman Pinsch,German Shepherd,Black/Tan,Return_to_owner/
Dog,Spayed Female,730,Great Pyrenees,Great Pyrenees,White,Return_to_owner/
Cat,Neutered Male,210,Domestic Longhair Mix,Domestic Longhair Mix,Black,Transfer/Partner
Dog,Spayed Female,365,Pit Bull Mix,Pit Bull Mix,Brown Brindle/White,Euthanasia/Aggressive
Dog,Intact Male,120,Mastiff,Pit Bull,Black/White,Transfer/Partner
Dog,Spayed Female,730,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Brown,Return_to_owner/
Cat,Intact Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/SCRP
Dog,Spayed Female,270,Boston Terrier Mix,Boston Terrier Mix,White,Adoption/
Cat,Intact Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/SCRP
Cat,Spayed Female,1095,Angora Mix,Angora Mix,Blue,Adoption/Foster
Dog,Neutered Male,30,Labrador Retriever,Boxer,Tan/White,Adoption/
Dog,Neutered Male,1095,Beagle Mix,Beagle Mix,Tricolor,Return_to_owner/
Dog,Intact Female,365,Siberian Husky Mix,Siberian Husky Mix,Silver/Black,Return_to_owner/
Dog,Intact Male,2190,English Bulldog Mix,English Bulldog Mix,Brown Brindle/White,Return_to_owner/
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Neutered Male,4380,Boxer Mix,Boxer Mix,White/Red,Transfer/Partner
Cat,Intact Male,30,Domestic Medium Hair Mix,Domestic Medium Hair Mix,White/Blue,Transfer/Partner
Cat,Spayed Female,2920,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Transfer/Partner
Cat,Intact Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/SCRP
Cat,Spayed Female,365,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,Adoption/
Cat,Intact Male,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Cat,Spayed Female,1460,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Return_to_owner/
Dog,Spayed Female,30,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Adoption/Foster
Cat,Intact Female,21,Domestic Longhair Mix,Domestic Longhair Mix,Blue Tabby,Transfer/Partner
Dog,Intact Male,60,Yorkshire Terrier,Maltese,White,Transfer/Partner
Cat,Intact Male,3,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Cat,Intact Male,180,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,others
Dog,Intact Female,730,Pit Bull Mix,Pit Bull Mix,White/Tan,Euthanasia/Aggressive
Dog,Intact Female,730,Pit Bull Mix,Pit Bull Mix,White/Brown,Return_to_owner/
Dog,Spayed Female,2190,Cardigan Welsh Corgi Mix,Cardigan Welsh Corgi Mix,Brown Brindle/White,Adoption/
Dog,Intact Male,28,Blue Lacy,American Bulldog,Black/White,Transfer/Partner
Dog,Spayed Female,5110,Labrador Retriever Mix,Labrador Retriever Mix,Red/Tan,Return_to_owner/
Dog,Neutered Male,150,Boxer Mix,Boxer Mix,Brown/White,Transfer/Partner
Cat,Neutered Male,90,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Adoption/
Dog,Intact Female,30,Plott Hound Mix,Plott Hound Mix,Black/Brown Brindle,Transfer/Partner
Dog,Spayed Female,180,Australian Shepherd,Australian Shepherd,Black/Tan,Transfer/Partner
Cat,Spayed Female,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Adoption/Foster
Dog,Neutered Male,365,Pit Bull Mix,Pit Bull Mix,Brown/White,Adoption/
Cat,Intact Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/SCRP
Dog,Spayed Female,1095,St. Bernard Rough Coat Mix,St. Bernard Rough Coat Mix,Tricolor,Transfer/Partner
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Transfer/Partner
Dog,Spayed Female,60,Australian Shepherd Mix,Australian Shepherd Mix,Tricolor,Transfer/Partner
Cat,Neutered Male,2190,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Dog,Neutered Male,1825,Staffordshire,Boston Terrier,Brown/White,Adoption/Foster
