OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Adoption,,Dog,Spayed Female,10 months,German Shepherd/Border Collie,Black/White
Return_to_owner,,Dog,Neutered Male,4 years,Pit Bull Mix,Yellow Brindle/Tan
Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Tan
Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,1 year,Labrador Retriever/Pit Bull,Chocolate/White
Adoption,,Dog,Neutered Male,1 year,Miniature Poodle Mix,White
Adoption,Foster,Dog,Spayed Female,4 years,Labrador Retriever/Pointer,Black/White
Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tricolor
Adoption,,Dog,Neutered Male,11 months,Australian Cattle Dog/Rat Terrier,Blue Tick/Tan
Adoption,,Dog,Spayed Female,2 years,Labrador Retriever,White/Tan
Return_to_owner,,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Chocolate/Brown
Return_to_owner,,Dog,Neutered Male,1 year,Labrador Retriever Mix,White
Return_to_owner,,Dog,Neutered Male,2 years,Basset Hound/Labrador Retriever,Brown/White
Return_to_owner,,Dog,Neutered Male,9 months,Chihuahua Shorthair/Miniature Pinscher,Brown
Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Spayed Female,6 years,Dachshund Mix,Red
Adoption,,Dog,Spayed Female,3 years,Rat Terrier Mix,White/Brown
Adoption,,Dog,Spayed Female,3 years,Bruss Griffon Mix,White/Brown
Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Blue Tabby
Return_to_owner,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,White
Transfer,Partner,Dog,Spayed Female,1 month,German Shepherd Mix,Tricolor/White
Adoption,,Cat,Spayed Female,6 months,Domestic Longhair Mix,Black Smoke
Transfer,SCRP,Cat,Unknown,4 months,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Neutered Male,1 year,Bruss Griffon,Tan
Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair/Cairn Terrier,Brown/White
Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie/White
Euthanasia,Suffering,Dog,Intact Male,6 months,Pit Bull/Labrador Retriever,Black/White
Adoption,Foster,Dog,Neutered Male,2 months,Boxer Mix,Brown Brindle/White
Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Partner,Dog,Neutered Male,11 months,Labrador Retriever/Border Collie,Chocolate/White
Transfer,Partner,Dog,Intact Male,3 weeks,Labrador Retriever Mix,White
Return_to_owner,,Dog,Neutered Male,1 year,Basset Hound Mix,Tricolor
Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Intact Female,2 months,Australian Cattle Dog Mix,Red Tick/Brown Merle
Transfer,Partner,Dog,Intact Female,2 years,Doberman Pinsch Mix,Blue/Tan
Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Buff
Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange/White
Died,In Kennel,Cat,Intact Female,4 months,Domestic Shorthair Mix,Blue Cream
Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Yellow
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Calico
Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Tortie
Died,In Kennel,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Spayed Female,2 years,Labrador Retriever Mix,Buff
Adoption,,Dog,Spayed Female,5 years,Cocker Spaniel Mix,Tan/White
Euthanasia,Suffering,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
Adoption,,Dog,Spayed Female,2 months,Boxer Mix,Black Brindle
Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Brown Tabby
Adoption,Foster,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico/White
Transfer,Partner,Dog,Intact Female,2 days,Pit Bull Mix,White/Chocolate
Return_to_owner,,Dog,Spayed Female,13 years,Miniature Poodle Mix,White
Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
Died,,Cat,Unknown,1 year,Domestic Shorthair Mix,White
Return_to_owner,,Dog,Neutered Male,1 year,Basset Hound/Pit Bull,White/Brown
Return_to_owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Red
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Transfer,SCRP,Cat,Spayed Female,1 year,Russian Blue Mix,Blue
Adoption,,Dog,Spayed Female,5 months,Labrador Retriever/Pit Bull,Black/White
Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Yellow
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Female,1 month,Plott Hound Mix,Black/Brown Brindle
Transfer,Partner,Dog,Intact Male,2 days,Pit Bull Mix,White/Blue
Adoption,,Dog,Spayed Female,2 months,Border Terrier Mix,Tan/White
Transfer,SCRP,Cat,Unknown,10 months,Domestic Shorthair Mix,Black
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Dog,Intact Male,3 years,Boxer Mix,Yellow Brindle
Return_to_owner,,Dog,Neutered Male,9 months,Pit Bull Mix,Blue/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,1 year,Dachshund Longhair/Pembroke Welsh Corgi,Red
Died,In Kennel,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White
Return_to_owner,,Dog,Neutered Male,4 years,Basset Hound Mix,White/Brown
Adoption,,Dog,Spayed Female,2 months,Carolina Dog Mix,Tan/White
Transfer,Partner,Cat,Neutered Male,2 months,Siamese/Domestic Shorthair,Lynx Point/Brown Tabby
Transfer,Partner,Dog,Intact Male,4 months,Pointer Mix,Black/White
Adoption,,Dog,Spayed Female,3 years,German Shepherd Mix,Tan/Black
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/White
Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,Black
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby
Adoption,,Dog,Neutered Male,3 years,Border Collie Mix,Black/White
Adoption,,Dog,Spayed Female,2 months,Anatol Shepherd Mix,Tan/Black
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Spayed Female,3 years,Shih Tzu,White/Black
Transfer,Partner,Dog,Intact Male,7 years,Yorkshire Terrier Mix,Black/Brown
Return_to_owner,,Dog,Intact Male,5 months,Bull Terrier Miniature,White
Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie/White
Adoption,,Dog,Spayed Female,1 year,Queensland Heeler Mix,Tan/White
Transfer,Partner,Dog,Neutered Male,3 months,Border Collie/Boxer,Black/White
Transfer,Partner,Dog,Intact Female,3 weeks,Australian Kelpie Mix,Black/White
Adoption,,Dog,Spayed Female,6 months,Australian Kelpie Mix,Red/White
Adoption,,Dog,Neutered Male,1 year,Miniature Poodle Mix,Tan
Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair,Brown
Transfer,Partner,Cat,Spayed Female,11 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,3 months,Australian Shepherd Mix,Tricolor
Adoption,Offsite,Dog,Spayed Female,2 months,Australian Kelpie Mix,Chocolate/Tan
Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Red
Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,7 years,Rottweiler/Labrador Retriever,Black/Tan
Adoption,,Dog,Spayed Female,2 months,Rat Terrier,Tan
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby/White
Euthanasia,Aggressive,Dog,Spayed Female,1 year,Queensland Heeler/Pit Bull,White/Tan
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Cream
Transfer,Partner,Dog,Spayed Female,1 year,German Shepherd/Pit Bull,Brown Brindle/White
Adoption,,Dog,Neutered Male,9 years,Anatol Shepherd Mix,White/Tan
Return_to_owner,,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Tan/Black
Adoption,Foster,Dog,Spayed Female,1 month,Australian Cattle Dog Mix,White/Chocolate
Euthanasia,Behavior,Dog,Intact Female,5 years,Pit Bull Mix,White/Brown
Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair/Wire Hair Fox Terrier,White/Brown
Adoption,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Black/Brown
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Spayed Female,12 years,Pit Bull Mix,Black/White
Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby
Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/Orange
Adoption,,Dog,Neutered Male,4 years,Pit Bull Mix,Brown Brindle
Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
Transfer,Partner,Cat,Intact Female,1 month,Snowshoe Mix,Seal Point/White
Adoption,,Dog,Neutered Male,4 years,Australian Cattle Dog Mix,Blue Merle/Tan
Transfer,Partner,Dog,Spayed Female,3 months,Dachshund,Brown Brindle
Adoption,,Dog,Neutered Male,6 years,Chow Chow Mix,Red/White
Adoption,,Dog,Spayed Female,1 year,Miniature Poodle/Maltese,Cream
Adoption,,Dog,Spayed Female,1 year,American Bulldog Mix,White/Brown Brindle
Adoption,Foster,Dog,Spayed Female,6 years,Standard Poodle,Chocolate
Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Female,11 months,Golden Retriever Mix,Red
Adoption,Foster,Dog,Spayed Female,3 years,Collie Smooth/Golden Retriever,Red/White
Adoption,Foster,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Orange Tabby
Euthanasia,Suffering,Cat,Intact Female,12 years,Domestic Longhair Mix,Tortie
Adoption,,Dog,Spayed Female,10 years,Labrador Retriever Mix,Black
Adoption,,Dog,Neutered Male,3 years,Toy Poodle Mix,Apricot
Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Cat,Spayed Female,10 years,Domestic Shorthair Mix,White/Blue
Adoption,Foster,Dog,Neutered Male,4 years,Border Terrier Mix,Black/White
Transfer,Partner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,2 months,Boxer/Black Mouth Cur,Tan/White
Return_to_owner,,Dog,Neutered Male,2 years,American Bulldog,Tricolor
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Neutered Male,7 months,Labrador Retriever Mix,Yellow
Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,Black/White
Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Tortie
Adoption,,Dog,Neutered Male,1 year,Boxer,Red/White
Return_to_owner,,Dog,Intact Female,4 years,Pit Bull Mix,White/Black
Return_to_owner,,Dog,Neutered Male,1 year,Jack Russell Terrier Mix,White
Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Spayed Female,2 years,Cairn Terrier Mix,Tan/Brown
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Intact Male,11 years,Dachshund,Brown
Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,3 years,American Staffordshire Terrier/Labrador Retriever,Brown/White
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Cream
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Neutered Male,2 years,Rhod Ridgeback Mix,Brown/White
Return_to_owner,,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Red/White
Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby
Adoption,,Dog,Neutered Male,11 months,Boxer Mix,Brown
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
Return_to_owner,,Cat,Neutered Male,13 years,Domestic Longhair Mix,Brown Tabby
Transfer,Partner,Dog,Spayed Female,4 years,Shih Tzu/Havanese,Cream
Transfer,SCRP,Cat,Intact Female,2 years,Domestic Longhair Mix,White/Black
Return_to_owner,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,White/Brown
Transfer,Partner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue
Return_to_owner,,Dog,Spayed Female,5 years,Miniature Poodle/Yorkshire Terrier,Black/White
Transfer,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie/Brown
Adoption,,Dog,Spayed Female,1 year,Pbgv Mix,Black
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/Pit Bull,Tan
Return_to_owner,,Dog,Spayed Female,3 years,Doberman Pinsch Mix,Liver/Buff
Transfer,Partner,Dog,Neutered Male,2 years,Wire Hair Fox Terrier,White/Brown
Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby/White
Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
Euthanasia,Suffering,Cat,Intact Female,4 weeks,Siamese Mix,Lynx Point
Adoption,Foster,Dog,Neutered Male,10 years,Miniature Poodle/Pomeranian,Black
Transfer,Partner,Dog,Neutered Male,10 years,Labrador Retriever Mix,Brown
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Dog,Neutered Male,1 year,Dachshund Mix,Brown
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White
Adoption,,Dog,Neutered Male,5 years,Australian Cattle Dog Mix,White/Brown Brindle
Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
Adoption,Foster,Cat,Spayed Female,1 year,Domestic Longhair,White/Black
Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Tortie
Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie
Transfer,Partner,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Buff/Black
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Suffering,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White
Return_to_owner,,Dog,Neutered Male,6 years,Pit Bull Mix,Brown Brindle/White
Transfer,Partner,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Tan
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black Tabby
Adoption,,Dog,Spayed Female,3 years,Weimaraner,Silver
Adoption,,Dog,Spayed Female,5 months,Chihuahua Shorthair Mix,Black
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Foster,Dog,Neutered Male,2 months,Miniature Schnauzer Mix,White/Black
Transfer,Partner,Dog,Intact Male,2 years,Jack Russell Terrier Mix,Tricolor
Adoption,,Dog,Spayed Female,11 months,Bullmastiff Mix,Black Brindle
Return_to_owner,,Dog,Intact Male,3 years,Pit Bull Mix,Red/White
Transfer,Partner,Cat,Intact Female,2 weeks,Siamese Mix,Flame Point
Transfer,Partner,Dog,Spayed Female,6 years,Pit Bull Mix,Black/White
Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
Return_to_owner,,Dog,Intact Male,1 year,Pit Bull Mix,Tan/White
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,1 month,German Shepherd Mix,Black/Tan
Adoption,,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Gray/White
Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Torbie
Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
Transfer,Partner,Cat,Unknown,6 days,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Spayed Female,3 months,Pointer Mix,Brown/White
Transfer,Partner,Dog,Spayed Female,3 years,Border Collie Mix,Black/White
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tricolor
Return_to_owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Chocolate/White
Adoption,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Buff
Adoption,,Dog,Spayed Female,3 years,German Shepherd,Tan/Black
Return_to_owner,,Dog,Intact Male,13 years,Dachshund,Brown
Euthanasia,Behavior,Dog,Spayed Female,11 months,Pit Bull Mix,Brown/White
Return_to_owner,,Dog,Spayed Female,2 years,Shiba Inu Mix,Red
Adoption,,Dog,Spayed Female,2 years,Anatol Shepherd Mix,Tan/Black
Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,White/Black
Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull/German Shepherd,Brown/White
Transfer,Partner,Cat,Neutered Male,1 year,Domestic Longhair Mix,Blue/White
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
Adoption,,Dog,Spayed Female,3 months,Australian Cattle Dog Mix,Blue Merle
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Neutered Male,9 years,Dachshund Mix,Tricolor/Tan
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Spayed Female,2 years,Boxer Mix,White/Tricolor
Return_to_owner,,Dog,Intact Female,3 years,Pit Bull Mix,White/Brown
Return_to_owner,,Dog,Intact Male,12 years,Pug/Labrador Retriever,Brown
Euthanasia,Suffering,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Partner,Cat,Intact Female,3 days,Domestic Shorthair Mix,Torbie
Adoption,Foster,Dog,Intact Female,1 year,Border Collie/Whippet,Black/White
Euthanasia,Suffering,Dog,Intact Male,13 years,Chow Chow/Golden Retriever,Red
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Orange Tabby
Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull/Australian Cattle Dog,White/Blue
Adoption,,Dog,Spayed Female,1 year,Labrador Retriever/Pit Bull,Black/White
Return_to_owner,,Dog,Spayed Female,5 years,Basset Hound Mix,White/Brown
Adoption,Foster,Cat,Spayed Female,8 years,Domestic Shorthair Mix,White
Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
Adoption,,Dog,Neutered Male,3 years,Dachshund Mix,Blue Merle
Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
Adoption,,Dog,Neutered Male,2 years,Dachshund/Chihuahua Shorthair,White/Tan
Return_to_owner,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Transfer,Partner,Dog,Neutered Male,8 years,Pomeranian Mix,Tan/White
Transfer,SCRP,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Blue Tabby
Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Male,1 month,Irish Setter/Pit Bull,Brown/Black
Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,White/Blue
Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog Mix,White/Brown
Adoption,,Dog,Neutered Male,2 years,Jack Russell Terrier/Basset Hound,White/Orange
Adoption,,Dog,Spayed Female,3 years,Chihuahua Longhair Mix,Black/Tan
Transfer,Partner,Dog,Neutered Male,7 months,Miniature Poodle Mix,White
Euthanasia,Suffering,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,Buff
Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Orange Tabby
Return_to_owner,,Dog,Spayed Female,3 years,Pug Mix,Buff
Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Chocolate/White
Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/White
Return_to_owner,,Dog,Spayed Female,7 months,Chihuahua Shorthair Mix,Black/White
Adoption,,Dog,Spayed Female,2 months,Border Terrier/Chihuahua Shorthair,Black/White
Transfer,Partner,Dog,Intact Male,2 months,Boxer Mix,Brown/Black
Return_to_owner,,Dog,Spayed Female,1 year,Australian Kelpie Mix,Red
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Cream Tabby/White
Transfer,Partner,Cat,Spayed Female,4 years,Siamese Mix,Flame Point
Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Blue
Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Blue/White
Transfer,Partner,Cat,Unknown,5 days,Siamese Mix,White
Adoption,,Dog,Spayed Female,4 months,Pit Bull Mix,Fawn/White
Euthanasia,Suffering,Dog,Spayed Female,7 years,Shiba Inu Mix,Black/Tan
Transfer,Partner,Dog,Unknown,1 week,Labrador Retriever Mix,White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
Euthanasia,Suffering,Dog,Spayed Female,11 years,Pembroke Welsh Corgi Mix,Gold/White
Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
Transfer,Partner,Dog,Intact Female,1 weeks,Chihuahua Shorthair Mix,Tan
Return_to_owner,,Cat,Neutered Male,7 years,Domestic Longhair Mix,Orange Tabby/White
Return_to_owner,,Dog,Neutered Male,9 years,Pomeranian/Schipperke,Black/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Return_to_owner,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Red
Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair,Brown
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White
Transfer,SCRP,Cat,Intact Female,6 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,3 years,American Bulldog Mix,White
Adoption,,Dog,Spayed Female,3 years,Border Collie Mix,White/Black
Transfer,Partner,Dog,Spayed Female,1 year,Miniature Poodle Mix,Apricot
Adoption,,Dog,Neutered Male,3 months,German Shepherd Mix,Brown
Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Spayed Female,5 months,Australian Cattle Dog/Boxer,White/Tan
Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Neutered Male,4 years,Bulldog Mix,White
Transfer,Partner,Dog,Spayed Female,3 years,Anatol Shepherd/Australian Cattle Dog,Tricolor
Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Blue Tabby
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Neutered Male,2 months,Great Pyrenees Mix,White
Adoption,,Dog,Neutered Male,10 months,Pit Bull Mix,Chocolate/White
Return_to_owner,,Cat,Spayed Female,11 months,Domestic Shorthair Mix,Tortie
Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,3 years,Chow Chow Mix,Tan
Return_to_owner,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Brown
Transfer,Partner,Dog,Neutered Male,3 years,Cocker Spaniel,Red
Return_to_owner,,Dog,Spayed Female,1 year,Catahoula Mix,Brown Brindle/White
Adoption,,Dog,Spayed Female,1 year,Australian Cattle Dog/Collie Rough,Red/White
Adoption,,Dog,Neutered Male,3 months,Miniature Schnauzer Mix,Black
